processes,threads,duration
33,1,4.252013
33,1,4.327987
33,1,3.914609
33,1,4.091712
33,1,4.25826
33,1,4.550501
33,1,4.528532
33,1,4.345964
33,1,3.982736
33,1,4.25108
33,1,3.893195
33,1,4.134028
33,2,3.71421
33,2,3.681922
33,2,3.963549
33,2,3.997108
33,2,4.291394
33,2,3.818288
33,2,3.779281
33,2,3.79367
33,2,3.888116
33,2,4.148003
33,2,3.820532
33,2,3.863876
33,2,3.667064
33,2,4.136633
33,2,4.203834
33,4,3.975829
33,4,4.034399
33,4,3.73198
33,4,3.947929
33,4,3.936717
33,4,4.081126
33,4,3.975412
33,4,4.048865
33,4,3.931357
33,4,3.81311
33,4,3.885416
33,4,3.96805
33,4,3.880482
33,4,4.778543
33,4,4.00889
33,8,4.022534
33,8,3.848441
33,8,3.968381
33,8,4.042537
33,8,4.08489
33,8,3.98102
33,8,4.217589
33,8,3.996601
33,8,4.157225
33,8,4.141533
33,8,4.012648
33,8,3.921505
33,8,4.185962
33,8,3.924784
33,8,4.166344
33,16,4.077383
33,16,4.594532
33,16,4.290348
33,16,3.961068
33,16,4.150772
33,16,4.185057
33,16,4.375936
33,16,3.892265
33,16,3.83668
33,16,4.121471
33,16,4.149511
33,16,4.262126
33,16,4.007696
33,16,4.06916
33,16,4.053043
33,32,4.096355
33,32,4.011563
33,32,4.024217
33,32,4.528844
33,32,4.7579
33,32,4.190033
33,32,4.142462
33,32,4.136517
33,32,4.418977
33,32,4.115377
33,32,4.276282
33,32,4.056444
33,32,3.991167
33,32,4.006369
33,32,4.325514
33,64,3.863286
33,64,3.824093
33,64,3.901225
33,64,3.949305
33,64,4.326824
33,64,3.918446
33,64,3.934112
33,64,4.245891
33,64,3.765406
33,64,4.146815
33,64,3.830826
33,64,4.297817
33,64,4.055845
33,64,4.182726
33,64,4.045398
65,1,4.618485
65,1,4.187937
65,1,4.274454
65,1,4.513219
65,1,4.603782
65,1,4.52281
65,1,4.435432
65,1,4.436722
65,1,4.376194
65,1,4.476428
65,1,4.524729
65,1,4.5489
65,1,4.865478
65,1,4.458961
65,1,4.286617
65,2,4.481258
65,2,4.248067
65,2,4.224905
65,2,4.448447
65,2,4.493999
65,2,4.6924
65,2,4.220958
65,2,4.045935
65,2,4.275221
65,2,5.393226
65,2,4.115241
65,2,4.650285
65,2,4.221011
65,2,4.121285
65,2,4.294672
65,4,4.209984
65,4,4.114203
65,4,4.104783
65,4,4.178958
65,4,4.413195
65,4,4.721535
65,4,4.032326
65,4,4.11905
65,4,4.076023
65,4,4.352414
65,4,4.420885
65,4,4.103352
65,4,4.168642
65,4,4.136965
65,4,4.226563
65,8,4.356388
65,8,3.966593
65,8,4.231794
65,8,4.25669
65,8,3.952696
65,8,4.0499
65,8,3.950654
65,8,4.614355
65,8,4.201959
65,8,4.117703
65,8,4.262726
65,8,4.004488
65,8,4.178719
65,8,4.090826
65,8,4.234458
65,16,4.797887
65,16,4.284919
65,16,5.01671
65,16,4.318198
65,16,4.201704
65,16,4.316808
65,16,4.766521
65,16,4.699711
65,16,4.375597
65,16,4.800829
65,16,4.720175
65,16,4.335609
65,16,4.776733
65,16,4.312852
65,16,4.905682
65,32,4.383
65,32,4.892962
65,32,4.604994
65,32,4.705591
65,32,4.827911
65,32,4.557313
65,32,4.600129
65,32,4.68537
65,32,4.572592
65,32,4.612465
65,32,4.621761
65,32,4.692318
65,32,4.54523
65,32,5.194678
65,32,5.143911
65,64,4.313437
65,64,4.377347
65,64,4.865185
65,64,4.959731
65,64,4.879665
65,64,4.322176
65,64,4.495539
65,64,4.259725
65,64,4.361627
65,64,5.008226
65,64,4.392838
65,64,4.416492
65,64,4.53643
65,64,4.7314
65,64,5.26567
